# Acquisition started at 12/08/2022 - 14:30:17 
#
#******************************************* 
#
Event	EvType	ASIC	ChType	Ch	ADC
254	011	2	10	23		549
255	011	2	10	28		621
256	011	2	10	2		630
257	011	2	10	29		594
258	011	2	10	10		680
259	011	2	10	2		544
260	011	2	10	19		534
261	011	2	10	8		606
262	011	2	10	17		534
263	011	2	11	0		0
264	011	2	10	2		564
265	011	2	10	21		544
266	011	2	10	14		574
267	011	2	10	4		595
268	011	2	10	30		632
269	011	2	10	7		542
270	011	2	10	14		578
271	011	2	10	30		602
272	011	2	10	7		562
273	011	2	10	11		563
274	011	2	10	14		588
275	011	2	10	26		677
276	011	2	10	11		598
277	011	2	10	21		576
278	011	2	10	18		554
279	011	2	10	1		569
280	011	2	10	0		648
281	011	2	10	23		539
282	011	2	10	26		560
283	011	2	10	13		557
284	011	2	10	14		672
285	011	2	10	26		565
286	000	2	00	3		754
286	011	2	10	4		663
287	011	2	10	30		578
288	011	2	10	30		683
289	011	2	10	21		558
290	011	2	10	29		686
291	011	2	10	20		560
292	011	2	10	17		637
293	011	2	10	10		597
294	011	2	10	26		575
295	011	2	11	0		0
296	011	2	10	1		621
297	011	2	10	0		629
298	011	2	10	21		563
299	011	2	10	18		596
300	011	2	10	17		549
301	011	2	10	22		605
302	011	2	10	30		750
303	000	2	00	9		544
303	011	2	10	10		733
304	011	2	11	0		0
305	011	2	10	29		662
306	011	2	10	25		629
307	011	2	10	30		683
308	011	2	10	22		596
309	011	2	10	7		597
310	011	2	10	30		640
311	011	2	10	24		579
312	011	2	10	24		637
313	011	2	11	0		0
314	011	2	10	0		583
315	011	2	10	6		608
316	011	2	10	17		589
317	011	2	10	6		642
318	011	2	10	6		586
319	011	2	10	8		598
320	011	2	10	30		672
321	011	2	10	10		577
322	011	2	10	31		570
323	011	2	10	6		679
324	011	2	10	0		638
325	011	2	10	24		564
326	011	2	10	27		598
327	011	2	10	20		613
328	011	2	10	16		578
329	011	2	10	19		536
330	011	2	10	6		592
331	011	2	10	26		574
332	011	2	10	20		565
333	011	2	10	26		569
334	011	2	10	1		625
335	011	2	10	21		580
336	011	2	10	1		573
337	011	2	10	1		595
338	011	2	11	0		0
339	011	2	10	4		578
340	011	2	10	10		642
341	011	2	10	10		590
342	000	2	00	11		576
342	011	2	10	15		572
343	011	2	10	23		757
344	011	2	10	24		947
345	011	2	10	21		606
346	011	2	10	17		615
347	011	2	10	31		607
348	011	2	10	19		606
349	011	2	10	14		562
350	011	2	10	20		558
351	011	2	10	29		613
352	011	2	11	0		0
353	011	2	10	18		636
354	011	2	10	28		581
355	011	2	11	0		0
356	011	2	10	0		586
357	011	2	10	30		654
358	011	2	10	15		589
359	011	2	10	10		570
360	011	2	10	29		614
361	011	2	10	8		654
362	011	2	10	22		683
363	011	2	10	22		738
364	011	2	10	30		685
365	011	2	10	12		804
366	011	2	10	1		658
367	011	2	10	3		557
368	011	2	10	21		557
369	011	2	10	26		580
370	011	2	11	0		0
371	011	2	10	30		601
372	011	2	10	7		569
373	011	2	10	9		556
374	011	2	10	14		571
375	011	2	10	17		546
376	011	2	10	30		578
377	011	2	11	0		0
378	011	2	10	5		633
379	011	2	10	2		723
380	011	2	10	14		564
381	011	2	10	25		631
382	000	2	00	29		590
382	011	2	10	30		638
383	011	2	11	0		0
384	011	2	10	22		578
385	011	2	10	31		553
386	011	2	10	4		598
387	011	2	10	18		583
388	011	2	10	2		584
389	011	2	10	14		613
390	011	2	10	9		567
391	011	2	10	15		594
392	011	2	10	15		580
393	011	2	10	11		618
394	011	2	10	29		628
395	011	2	10	18		576
396	011	2	10	14		580
397	011	2	10	3		625
398	011	2	10	31		582
399	011	2	10	7		546
400	011	2	11	0		0
401	011	2	10	5		565
402	011	2	11	0		0
403	011	2	10	2		584
404	011	2	10	29		695
405	011	2	10	12		628
406	011	2	10	11		582
407	011	2	10	30		720
408	011	2	10	11		594
409	011	2	10	4		625
410	011	2	10	13		565
411	011	2	10	0		606
412	011	2	10	29		613
413	011	2	10	1		645
414	011	2	10	4		624
415	011	2	10	27		594
416	011	2	10	22		669
417	011	2	10	31		615
418	011	2	10	8		537
419	011	2	10	8		546
420	011	2	10	31		582
421	011	2	10	2		664
422	011	2	10	29		582
423	011	2	10	0		579
424	011	2	10	7		568
425	011	2	10	26		638
426	011	2	10	2		613
427	011	2	10	22		596
428	011	2	10	16		566
429	011	2	10	30		570
430	011	2	10	0		643
431	011	2	10	2		566
432	011	2	10	1		605
433	011	2	11	0		0
434	011	2	10	19		527
435	011	2	10	29		612
436	011	2	10	23		578
437	011	2	10	0		601
438	011	2	10	30		571
439	011	2	10	31		589
440	011	2	10	2		553
441	011	2	10	6		574
442	011	2	10	2		581
443	011	2	10	27		714
444	011	2	10	27		608
445	011	2	10	22		570
446	011	2	10	0		663
447	011	2	10	14		615
448	011	2	10	4		583
449	011	2	10	10		681
450	011	2	10	30		733
451	011	2	10	30		733
452	011	2	10	18		553
453	011	2	10	2		564
454	011	2	10	26		670
455	011	2	10	2		740
456	011	2	10	7		662
457	011	2	10	5		536
458	011	2	10	4		616
459	011	2	10	7		566
460	011	2	10	1		645
461	011	2	10	22		705
462	011	2	10	30		677
463	011	2	10	29		681
464	011	2	10	22		770
465	011	2	11	0		0
466	011	2	10	1		568
467	011	2	10	15		598
468	011	2	10	15		715
469	011	2	10	23		597
470	011	2	10	27		666
471	011	2	10	1		623
472	011	2	10	20		562
473	011	2	10	9		550
474	011	2	10	29		588
475	011	2	10	2		579
476	011	2	10	29		613
477	011	2	11	0		0
478	011	2	10	14		592
479	000	2	00	16		667
479	011	2	10	29		617
480	011	2	10	3		586
481	011	2	10	14		554
482	011	2	11	0		0
483	011	2	10	4		613
484	011	2	10	1		693
485	011	2	10	21		564
486	011	2	10	16		571
487	011	2	10	29		626
488	011	2	10	17		565
489	011	2	10	15		663
490	011	2	11	0		0
491	011	2	10	24		636
492	011	2	10	20		591
493	011	2	10	15		606
494	011	2	11	0		0
495	011	2	10	7		621
496	011	2	10	26		587
497	011	2	10	16		629
498	011	2	10	26		600
499	011	2	10	22		581
500	011	2	10	8		544
501	011	2	10	26		621
502	011	2	10	10		592
503	011	2	10	20		608
504	011	2	10	26		580
505	011	2	10	4		608
506	011	2	10	4		600
507	011	2	11	0		0
508	011	2	10	10		743
509	011	2	10	22		564
510	011	2	10	7		578
511	011	2	10	13		601
512	011	2	10	17		564
513	011	2	10	15		593
514	011	2	10	3		557
515	011	2	10	5		533
516	011	2	10	4		577
517	011	2	10	21		578
518	011	2	10	30		622
519	011	2	10	29		581
520	011	2	10	30		626
521	011	2	10	26		559
522	011	2	10	22		677
523	011	2	11	0		0
524	011	2	10	18		629
525	011	2	10	17		573
526	011	2	10	10		597
527	011	2	10	26		585
528	011	2	10	8		544
529	000	2	00	0		624
529	011	2	10	1		573
530	000	2	00	0		604
530	011	2	10	30		612
531	011	2	10	4		696
532	011	2	10	4		643
533	011	2	10	27		582
534	011	2	10	30		648
535	011	2	10	24		718
536	011	2	10	30		663
537	011	2	10	24		553
538	011	2	10	3		573
539	011	2	10	11		566
540	011	2	10	29		631
541	011	2	10	30		576
542	011	2	10	20		558
543	011	2	10	30		695
544	011	2	10	23		555
545	011	2	10	12		656
546	011	2	10	7		543
547	011	2	10	12		581
548	011	2	10	24		579
549	011	2	10	23		612
550	011	2	10	24		562
551	011	2	10	1		583
552	011	2	10	30		626
553	011	2	10	1		597
554	011	2	10	23		539
555	011	2	10	26		565
556	011	2	10	29		641
557	011	2	10	21		650
558	011	2	10	26		637
559	011	2	10	29		649
560	011	2	10	4		599
561	011	2	10	0		605
562	011	2	10	0		690
563	011	2	10	20		551
564	011	2	10	10		574
565	011	2	10	11		567
566	011	2	10	29		691
567	011	2	10	8		539
568	011	2	10	14		558
569	011	2	10	30		741
570	011	2	10	29		701
571	011	2	10	14		569
572	011	2	10	4		589
573	011	2	10	18		582
574	011	2	10	29		667
575	011	2	10	31		586
576	011	2	10	29		762
577	011	2	10	21		614
578	011	2	10	27		589
579	011	2	10	21		569
580	011	2	10	14		628
581	011	2	11	0		0
582	011	2	10	29		625
583	011	2	10	4		725
584	011	2	10	0		581
585	011	2	10	24		606
586	011	2	10	29		582
587	011	2	10	14		628
588	011	2	10	11		578
589	011	2	10	23		584
590	011	2	10	14		571
591	011	2	10	4		614
592	011	2	10	1		566
593	011	2	10	8		667
594	011	2	10	5		635
595	011	2	11	0		0
596	011	2	10	2		567
597	011	2	10	6		577
598	011	2	10	15		582
599	011	2	10	30		604
600	011	2	10	21		558
601	011	2	10	16		567
