LECROYWS454	16215	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	02-May-2024 19:06:44	0                 
Time	Ampl
-2.12414e-007	-0.0005625
-2.11914e-007	-0.00025
-2.11414e-007	-0.0011875
-2.10914e-007	-0.002125
-2.10414e-007	-0.0018125
-2.09914e-007	-0.000875
-2.09414e-007	-0.000875
-2.08914e-007	-0.000875
-2.08414e-007	-0.0005625
-2.07914e-007	0.0006875
-2.07414e-007	0.0006875
-2.06914e-007	0.0006875
-2.06414e-007	0.001
-2.05914e-007	0.001
-2.05414e-007	0.001625
-2.04914e-007	0.001
-2.04414e-007	0.0013125
-2.03914e-007	0.0013125
-2.03414e-007	6.25e-005
-2.02914e-007	-0.00025
-2.02414e-007	-0.000875
-2.01914e-007	-0.0005625
-2.01414e-007	-0.0005625
-2.00914e-007	-0.002125
-2.00414e-007	-0.0015
-1.99914e-007	-0.0018125
-1.99414e-007	-0.0015
-1.98914e-007	-0.0011875
-1.98414e-007	-0.000875
-1.97914e-007	0.000375
-1.97414e-007	0.001
-1.96914e-007	0.0019375
-1.96414e-007	0.0019375
-1.95914e-007	0.0013125
-1.95414e-007	0.0019375
-1.94914e-007	0.001
-1.94414e-007	0.001
-1.93914e-007	0.000375
-1.93414e-007	-0.00025
-1.92914e-007	0.000375
-1.92414e-007	-0.0011875
-1.91914e-007	-0.0015
-1.91414e-007	-0.0005625
-1.90914e-007	-0.000875
-1.90414e-007	-0.0018125
-1.89914e-007	-0.002125
-1.89414e-007	-0.0011875
-1.88914e-007	-0.0005625
-1.88414e-007	-0.0005625
-1.87914e-007	0.000375
-1.87414e-007	0.000375
-1.86914e-007	0.000375
-1.86414e-007	0.001
-1.85914e-007	0.001
-1.85414e-007	0.001625
-1.84914e-007	0.0006875
-1.84414e-007	0.000375
-1.83914e-007	0.0006875
-1.83414e-007	0.0006875
-1.82914e-007	6.25e-005
-1.82414e-007	-0.000875
-1.81914e-007	-0.0011875
-1.81414e-007	-0.0015
-1.80914e-007	-0.0018125
-1.80414e-007	-0.0015
-1.79914e-007	-0.0018125
-1.79414e-007	-0.0015
-1.78914e-007	-0.0011875
-1.78414e-007	-0.0005625
-1.77914e-007	-0.00025
-1.77414e-007	-0.00025
-1.76914e-007	0.0013125
-1.76414e-007	0.001625
-1.75914e-007	0.0013125
-1.75414e-007	0.0019375
-1.74914e-007	0.0013125
-1.74414e-007	0.001
-1.73914e-007	0.001
-1.73414e-007	0.0006875
-1.72914e-007	6.25e-005
-1.72414e-007	-0.0011875
-1.71914e-007	-0.0005625
-1.71414e-007	-0.0011875
-1.70914e-007	-0.0011875
-1.70414e-007	-0.0011875
-1.69914e-007	-0.000875
-1.69414e-007	-0.000875
-1.68914e-007	-0.0005625
-1.68414e-007	-0.00025
-1.67914e-007	6.25e-005
-1.67414e-007	0.000375
-1.66914e-007	0.0019375
-1.66414e-007	0.001
-1.65914e-007	0.0006875
-1.65414e-007	0.0006875
-1.64914e-007	0.001
-1.64414e-007	0.001625
-1.63914e-007	0.001625
-1.63414e-007	0.0006875
-1.62914e-007	-0.00025
-1.62414e-007	6.25e-005
-1.61914e-007	6.25e-005
-1.61414e-007	-0.0011875
-1.60914e-007	-0.0005625
-1.60414e-007	-0.000875
-1.59914e-007	-0.000875
-1.59414e-007	-0.000875
-1.58914e-007	-0.0005625
-1.58414e-007	6.25e-005
-1.57914e-007	6.25e-005
-1.57414e-007	0.000375
-1.56914e-007	0.0006875
-1.56414e-007	0.001
-1.55914e-007	0.001
-1.55414e-007	0.000375
-1.54914e-007	0.0006875
-1.54414e-007	0.0013125
-1.53914e-007	6.25e-005
-1.53414e-007	0.000375
-1.52914e-007	-0.00025
-1.52414e-007	-0.00025
-1.51914e-007	6.25e-005
-1.51414e-007	-0.00025
-1.50914e-007	6.25e-005
-1.50414e-007	-0.0005625
-1.49914e-007	-0.0011875
-1.49414e-007	-0.0011875
-1.48914e-007	-0.0005625
-1.48414e-007	0.001
-1.47914e-007	6.25e-005
-1.47414e-007	-0.000875
-1.46914e-007	0.0006875
-1.46414e-007	0.001
-1.45914e-007	0.001
-1.45414e-007	0.001
-1.44914e-007	0.001
-1.44414e-007	0.0013125
-1.43914e-007	0.000375
-1.43414e-007	-0.00025
-1.42914e-007	-0.00025
-1.42414e-007	0.000375
-1.41914e-007	6.25e-005
-1.41414e-007	-0.0005625
-1.40914e-007	6.25e-005
-1.40414e-007	-0.000875
-1.39914e-007	-0.0005625
-1.39414e-007	-0.00025
-1.38914e-007	-0.0005625
-1.38414e-007	0.000375
-1.37914e-007	-0.00025
-1.37414e-007	6.25e-005
-1.36914e-007	0.0006875
-1.36414e-007	0.001
-1.35914e-007	0.0013125
-1.35414e-007	0.001
-1.34914e-007	0.0006875
-1.34414e-007	0.001
-1.33914e-007	-0.0005625
-1.33414e-007	-0.0005625
-1.32914e-007	6.25e-005
-1.32414e-007	6.25e-005
-1.31914e-007	-0.0005625
-1.31414e-007	-0.0011875
-1.30914e-007	-0.00025
-1.30414e-007	-0.0005625
-1.29914e-007	-0.0005625
-1.29414e-007	6.25e-005
-1.28914e-007	-0.0005625
-1.28414e-007	6.25e-005
-1.27914e-007	6.25e-005
-1.27414e-007	0.000375
-1.26914e-007	0.0006875
-1.26414e-007	0.0006875
-1.25914e-007	0.0013125
-1.25414e-007	0.0006875
-1.24914e-007	0.001
-1.24414e-007	0.0006875
-1.23914e-007	-0.00025
-1.23414e-007	-0.0005625
-1.22914e-007	6.25e-005
-1.22414e-007	6.25e-005
-1.21914e-007	-0.0005625
-1.21414e-007	-0.0011875
-1.20914e-007	-0.0011875
-1.20414e-007	-0.0015
-1.19914e-007	-0.0005625
-1.19414e-007	-0.0005625
-1.18914e-007	-0.00025
-1.18414e-007	6.25e-005
-1.17914e-007	-0.00025
-1.17414e-007	6.25e-005
-1.16914e-007	0.001
-1.16414e-007	0.001
-1.15914e-007	0.0013125
-1.15414e-007	0.001
-1.14914e-007	0.001
-1.14414e-007	0.0006875
-1.13914e-007	-0.0005625
-1.13414e-007	-0.00025
-1.12914e-007	6.25e-005
-1.12414e-007	-0.0005625
-1.11914e-007	-0.000875
-1.11414e-007	-0.0011875
-1.10914e-007	-0.0005625
-1.10414e-007	-0.0005625
-1.09914e-007	-0.000875
-1.09414e-007	-0.000875
-1.08914e-007	-0.00025
-1.08414e-007	0.0006875
-1.07914e-007	6.25e-005
-1.07414e-007	0.000375
-1.06914e-007	0.001
-1.06414e-007	0.0013125
-1.05914e-007	0.001625
-1.05414e-007	0.001
-1.04914e-007	0.0006875
-1.04414e-007	0.001
-1.03914e-007	0.000375
-1.03414e-007	-0.00025
-1.02914e-007	-0.000875
-1.02414e-007	-0.000875
-1.01914e-007	-0.0005625
-1.01414e-007	-0.000875
-1.00914e-007	-0.0005625
-1.00414e-007	-0.000875
-9.9914e-008	-0.0005625
-9.9414e-008	-0.000875
-9.8914e-008	-0.000875
-9.8414e-008	-0.0005625
-9.7914e-008	-0.0005625
-9.7414e-008	-0.0005625
-9.6914e-008	0.0006875
-9.6414e-008	0.0013125
-9.5914e-008	0.0013125
-9.5414e-008	0.0013125
