LECROYWS454	16215	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	02-May-2024 19:35:13	0                 
Time	Ampl
-2.12319e-007	-0.0011875
-2.11819e-007	-0.0018125
-2.11319e-007	-0.0018125
-2.10819e-007	-0.0018125
-2.10319e-007	-0.000875
-2.09819e-007	-0.000875
-2.09319e-007	-0.0005625
-2.08819e-007	6.25e-005
-2.08319e-007	0.0006875
-2.07819e-007	0.000375
-2.07319e-007	0.0013125
-2.06819e-007	0.0013125
-2.06319e-007	0.0013125
-2.05819e-007	0.0006875
-2.05319e-007	0.0006875
-2.04819e-007	0.000375
-2.04319e-007	-0.00025
-2.03819e-007	-0.00025
-2.03319e-007	-0.000875
-2.02819e-007	-0.0011875
-2.02319e-007	-0.0018125
-2.01819e-007	-0.0015
-2.01319e-007	-0.0015
-2.00819e-007	-0.000875
-2.00319e-007	-0.0011875
-1.99819e-007	-0.000875
-1.99319e-007	6.25e-005
-1.98819e-007	0.001
-1.98319e-007	0.0006875
-1.97819e-007	0.001
-1.97319e-007	0.0019375
-1.96819e-007	0.0019375
-1.96319e-007	0.001
-1.95819e-007	0.001
-1.95319e-007	6.25e-005
-1.94819e-007	-0.00025
-1.94319e-007	-0.0011875
-1.93819e-007	-0.0011875
-1.93319e-007	-0.000875
-1.92819e-007	-0.0005625
-1.92319e-007	-0.0018125
-1.91819e-007	-0.0018125
-1.91319e-007	-0.0011875
-1.90819e-007	-0.0018125
-1.90319e-007	-0.0011875
-1.89819e-007	6.25e-005
-1.89319e-007	0.0006875
-1.88819e-007	0.001
-1.88319e-007	0.0013125
-1.87819e-007	0.0013125
-1.87319e-007	0.0019375
-1.86819e-007	0.001
-1.86319e-007	0.001625
-1.85819e-007	6.25e-005
-1.85319e-007	6.25e-005
-1.84819e-007	0.0006875
-1.84319e-007	-0.000875
-1.83819e-007	-0.0015
-1.83319e-007	-0.0011875
-1.82819e-007	-0.0015
-1.82319e-007	-0.0018125
-1.81819e-007	-0.0018125
-1.81319e-007	-0.00025
-1.80819e-007	-0.0005625
-1.80319e-007	-0.0005625
-1.79819e-007	6.25e-005
-1.79319e-007	6.25e-005
-1.78819e-007	0.0013125
-1.78319e-007	0.001
-1.77819e-007	0.0013125
-1.77319e-007	0.0013125
-1.76819e-007	0.0013125
-1.76319e-007	0.0013125
-1.75819e-007	0.0013125
-1.75319e-007	6.25e-005
-1.74819e-007	6.25e-005
-1.74319e-007	-0.000875
-1.73819e-007	-0.0005625
-1.73319e-007	-0.000875
-1.72819e-007	-0.000875
-1.72319e-007	-0.000875
-1.71819e-007	-0.0015
-1.71319e-007	-0.0018125
-1.70819e-007	-0.000875
-1.70319e-007	0.000375
-1.69819e-007	6.25e-005
-1.69319e-007	6.25e-005
-1.68819e-007	0.0013125
-1.68319e-007	0.001
