LECROYWS454	16215	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	02-May-2024 19:31:41	0                 
Time	Ampl
-2.12299e-007	6.25e-005
-2.11799e-007	-0.000875
-2.11299e-007	-0.0011875
-2.10799e-007	-0.000875
-2.10299e-007	-0.0005625
-2.09799e-007	-0.000875
-2.09299e-007	-0.0015
-2.08799e-007	-0.0015
-2.08299e-007	6.25e-005
-2.07799e-007	-0.00025
-2.07299e-007	0.000375
-2.06799e-007	-0.00025
-2.06299e-007	6.25e-005
-2.05799e-007	0.001
-2.05299e-007	0.001
-2.04799e-007	0.0013125
-2.04299e-007	0.000375
-2.03799e-007	0.000375
-2.03299e-007	0.0006875
-2.02799e-007	0.0006875
-2.02299e-007	6.25e-005
-2.01799e-007	-0.000875
-2.01299e-007	-0.00025
-2.00799e-007	-0.000875
-2.00299e-007	-0.0015
-1.99799e-007	-0.000875
-1.99299e-007	-0.0011875
-1.98799e-007	-0.0005625
-1.98299e-007	-0.0005625
-1.97799e-007	-0.00025
-1.97299e-007	6.25e-005
-1.96799e-007	-0.0005625
-1.96299e-007	0.000375
-1.95799e-007	0.0013125
-1.95299e-007	0.0013125
-1.94799e-007	0.001625
-1.94299e-007	0.001
-1.93799e-007	0.001
-1.93299e-007	6.25e-005
-1.92799e-007	6.25e-005
-1.92299e-007	6.25e-005
-1.91799e-007	-0.0015
-1.91299e-007	-0.0015
-1.90799e-007	-0.0011875
-1.90299e-007	-0.000875
-1.89799e-007	-0.0018125
-1.89299e-007	-0.0011875
-1.88799e-007	-0.0011875
-1.88299e-007	-0.000875
-1.87799e-007	-0.00025
-1.87299e-007	6.25e-005
-1.86799e-007	-0.00025
-1.86299e-007	0.001625
-1.85799e-007	0.0013125
-1.85299e-007	0.001
-1.84799e-007	0.0006875
-1.84299e-007	0.001
-1.83799e-007	0.000375
-1.83299e-007	6.25e-005
-1.82799e-007	6.25e-005
-1.82299e-007	-0.000875
-1.81799e-007	-0.0015
-1.81299e-007	-0.0011875
-1.80799e-007	-0.0018125
-1.80299e-007	-0.0015
-1.79799e-007	-0.000875
-1.79299e-007	-0.0011875
-1.78799e-007	-0.0005625
-1.78299e-007	-0.0005625
-1.77799e-007	0.000375
-1.77299e-007	0.000375
-1.76799e-007	0.0013125
-1.76299e-007	0.001625
-1.75799e-007	0.0006875
-1.75299e-007	6.25e-005
-1.74799e-007	0.000375
-1.74299e-007	6.25e-005
-1.73799e-007	-0.00025
-1.73299e-007	-0.0005625
-1.72799e-007	6.25e-005
-1.72299e-007	-0.00025
-1.71799e-007	-0.0011875
-1.71299e-007	-0.0018125
