LECROYWS454	16215	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	02-May-2024 19:29:54	0                 
Time	Ampl
-2.12339e-007	0.0006875
-2.11839e-007	0.0013125
-2.11339e-007	0.0013125
-2.10839e-007	0.001625
-2.10339e-007	0.0013125
-2.09839e-007	0.0006875
-2.09339e-007	6.25e-005
-2.08839e-007	0.0006875
-2.08339e-007	-0.00025
-2.07839e-007	-0.0005625
-2.07339e-007	-0.0005625
-2.06839e-007	-0.0005625
-2.06339e-007	-0.0011875
-2.05839e-007	-0.0018125
-2.05339e-007	-0.000875
-2.04839e-007	-0.000875
-2.04339e-007	-0.000875
-2.03839e-007	-0.0005625
-2.03339e-007	0.000375
-2.02839e-007	0.0006875
-2.02339e-007	0.001
-2.01839e-007	0.0013125
-2.01339e-007	0.0013125
-2.00839e-007	0.0013125
-2.00339e-007	0.001625
-1.99839e-007	0.001
-1.99339e-007	6.25e-005
-1.98839e-007	6.25e-005
-1.98339e-007	0.000375
-1.97839e-007	-0.000875
-1.97339e-007	-0.0011875
-1.96839e-007	-0.000875
-1.96339e-007	-0.0018125
-1.95839e-007	-0.0018125
-1.95339e-007	-0.0011875
-1.94839e-007	-0.0005625
-1.94339e-007	-0.0005625
-1.93839e-007	6.25e-005
-1.93339e-007	0.0006875
-1.92839e-007	0.001
-1.92339e-007	0.0013125
-1.91839e-007	0.0019375
-1.91339e-007	0.0013125
-1.90839e-007	0.001625
-1.90339e-007	0.0013125
-1.89839e-007	6.25e-005
-1.89339e-007	-0.00025
-1.88839e-007	-0.00025
-1.88339e-007	-0.00025
-1.87839e-007	-0.000875
-1.87339e-007	-0.0005625
-1.86839e-007	-0.0011875
-1.86339e-007	-0.002125
-1.85839e-007	-0.0015
-1.85339e-007	-0.000875
-1.84839e-007	-0.0005625
-1.84339e-007	-0.00025
-1.83839e-007	0.001
-1.83339e-007	0.001625
-1.82839e-007	0.001
-1.82339e-007	0.000375
-1.81839e-007	0.0013125
-1.81339e-007	0.0019375
-1.80839e-007	0.0006875
-1.80339e-007	0.000375
-1.79839e-007	0.000375
-1.79339e-007	0.000375
-1.78839e-007	-0.00025
-1.78339e-007	-0.0011875
-1.77839e-007	-0.0011875
-1.77339e-007	-0.000875
-1.76839e-007	-0.0015
-1.76339e-007	-0.0024375
-1.75839e-007	-0.0011875
-1.75339e-007	-0.0005625
-1.74839e-007	-0.00025
-1.74339e-007	0.0006875
-1.73839e-007	0.0013125
-1.73339e-007	0.001
-1.72839e-007	0.001
-1.72339e-007	0.0013125
-1.71839e-007	0.0013125
-1.71339e-007	0.001
-1.70839e-007	0.0006875
-1.70339e-007	0.000375
-1.69839e-007	-0.0011875
-1.69339e-007	-0.000875
-1.68839e-007	-0.000875
-1.68339e-007	-0.0011875
-1.67839e-007	-0.000875
-1.67339e-007	-0.0018125
-1.66839e-007	-0.000875
-1.66339e-007	-0.0011875
-1.65839e-007	-0.0018125
-1.65339e-007	6.25e-005
-1.64839e-007	0.0006875
-1.64339e-007	0.0013125
-1.63839e-007	0.001
-1.63339e-007	0.0006875
-1.62839e-007	0.001
-1.62339e-007	0.0013125
-1.61839e-007	0.001
-1.61339e-007	0.0006875
-1.60839e-007	-0.000875
-1.60339e-007	-0.00025
-1.59839e-007	-0.0005625
-1.59339e-007	-0.000875
-1.58839e-007	-0.0011875
-1.58339e-007	-0.0018125
-1.57839e-007	-0.0011875
-1.57339e-007	-0.0011875
-1.56839e-007	-0.0011875
-1.56339e-007	-0.000875
-1.55839e-007	-0.000875
-1.55339e-007	-0.000875
-1.54839e-007	0.000375
-1.54339e-007	0.0013125
-1.53839e-007	0.0013125
-1.53339e-007	0.0013125
-1.52839e-007	0.001625
-1.52339e-007	0.0013125
-1.51839e-007	6.25e-005
-1.51339e-007	0.000375
-1.50839e-007	-0.0005625
-1.50339e-007	-0.0005625
-1.49839e-007	-0.000875
-1.49339e-007	-0.0011875
-1.48839e-007	-0.0015
-1.48339e-007	-0.0015
-1.47839e-007	-0.000875
-1.47339e-007	-0.0015
-1.46839e-007	-0.0011875
-1.46339e-007	6.25e-005
-1.45839e-007	6.25e-005
-1.45339e-007	0.000375
-1.44839e-007	6.25e-005
-1.44339e-007	0.000375
-1.43839e-007	0.0013125
-1.43339e-007	0.0013125
-1.42839e-007	0.0013125
-1.42339e-007	0.0006875
-1.41839e-007	0.001
-1.41339e-007	0.0006875
-1.40839e-007	-0.0005625
-1.40339e-007	-0.000875
-1.39839e-007	-0.0011875
-1.39339e-007	-0.000875
-1.38839e-007	-0.0015
-1.38339e-007	-0.002125
-1.37839e-007	-0.0011875
-1.37339e-007	-0.0011875
-1.36839e-007	-0.0005625
-1.36339e-007	-0.00025
-1.35839e-007	-0.0005625
-1.35339e-007	6.25e-005
-1.34839e-007	0.000375
-1.34339e-007	0.001
-1.33839e-007	0.0006875
-1.33339e-007	0.000375
-1.32839e-007	6.25e-005
-1.32339e-007	6.25e-005
-1.31839e-007	6.25e-005
-1.31339e-007	-0.00025
-1.30839e-007	-0.000875
-1.30339e-007	-0.0011875
-1.29839e-007	-0.000875
-1.29339e-007	-0.0011875
-1.28839e-007	-0.0018125
-1.28339e-007	-0.0015
-1.27839e-007	-0.000875
-1.27339e-007	-0.000875
-1.26839e-007	-0.0005625
-1.26339e-007	6.25e-005
-1.25839e-007	6.25e-005
-1.25339e-007	0.000375
-1.24839e-007	-0.00025
-1.24339e-007	-0.0005625
-1.23839e-007	6.25e-005
-1.23339e-007	6.25e-005
-1.22839e-007	0.000375
-1.22339e-007	6.25e-005
-1.21839e-007	-0.0005625
-1.21339e-007	-0.000875
-1.20839e-007	-0.0011875
-1.20339e-007	-0.0011875
-1.19839e-007	-0.0011875
-1.19339e-007	-0.0011875
-1.18839e-007	-0.0011875
-1.18339e-007	-0.000875
-1.17839e-007	-0.00025
-1.17339e-007	-0.00025
-1.16839e-007	0.000375
-1.16339e-007	-0.00025
-1.15839e-007	-0.0005625
-1.15339e-007	-0.00025
-1.14839e-007	6.25e-005
-1.14339e-007	0.000375
-1.13839e-007	0.0006875
-1.13339e-007	0.000375
-1.12839e-007	-0.00025
-1.12339e-007	-0.000875
-1.11839e-007	-0.0005625
-1.11339e-007	-0.000875
-1.10839e-007	-0.0005625
-1.10339e-007	-0.0005625
-1.09839e-007	-0.000875
-1.09339e-007	-0.0011875
-1.08839e-007	-0.0011875
-1.08339e-007	-0.0005625
-1.07839e-007	-0.00025
-1.07339e-007	-0.0005625
-1.06839e-007	-0.000875
-1.06339e-007	-0.00025
-1.05839e-007	-0.0005625
-1.05339e-007	-0.0005625
-1.04839e-007	-0.0005625
-1.04339e-007	-0.0005625
-1.03839e-007	6.25e-005
-1.03339e-007	0.0006875
-1.02839e-007	6.25e-005
-1.02339e-007	-0.00025
-1.01839e-007	-0.0005625
-1.01339e-007	-0.000875
-1.00839e-007	-0.000875
-1.00339e-007	-0.0005625
-9.9839e-008	-0.0005625
-9.9339e-008	-0.0011875
-9.8839e-008	-0.0011875
-9.8339e-008	-0.0011875
-9.7839e-008	-0.0005625
-9.7339e-008	-0.00025
-9.6839e-008	6.25e-005
-9.6339e-008	6.25e-005
-9.5839e-008	-0.00025
-9.5339e-008	-0.000875
-9.4839e-008	-0.000875
-9.4339e-008	-0.0005625
-9.3839e-008	-0.0005625
-9.3339e-008	-0.000875
-9.2839e-008	-0.0005625
-9.2339e-008	-0.0005625
-9.1839e-008	-0.0005625
-9.1339e-008	-0.0005625
-9.0839e-008	-0.0005625
-9.0339e-008	-0.0005625
-8.9839e-008	-0.0005625
-8.9339e-008	-0.0011875
-8.8839e-008	-0.0005625
-8.8339e-008	-0.00025
-8.7839e-008	-0.0005625
-8.7339e-008	-0.000875
-8.6839e-008	-0.000875
-8.6339e-008	-0.00025
-8.5839e-008	-0.000875
-8.5339e-008	-0.0005625
-8.4839e-008	-0.000875
-8.4339e-008	-0.0005625
-8.3839e-008	-0.00025
-8.3339e-008	6.25e-005
-8.2839e-008	-0.0005625
-8.2339e-008	-0.00025
-8.1839e-008	-0.0005625
-8.1339e-008	-0.00025
-8.0839e-008	6.25e-005
-8.0339e-008	6.25e-005
-7.9839e-008	-0.00025
-7.9339e-008	0.000375
-7.8839e-008	-0.00025
